Food,energy,protein,fat,carbs,fiber,calcium,iron,vitamin_c,folate,vitamin_a,vitamin_e,is_alcohol,is_leafy_green,vitamin_k_proxy
Biscuit (Chocolate Chip),471,5.4,24.9,60,0,117,2.3,0,36,0,2.2,0,0,0
Biscuit (Cream Crackers),476,5,23.3,65.8,0,118,2.19,0,11,0,2.3,0,0,0
Biscuit (Cream Filled),447,9.6,16.3,68.3,0,0,0,0,0,0,0,0,0,0
Biscuit (Ginger),443,4.8,15.7,75.3,0,43,1.5,0,11,0,2.1,0,0,0
Biscuit (Savory),534,6.6,32.4,54.6,0,0,0,0,0,0,0,0,0,0
Biscuit (Semi Sweet),444,6.4,15.1,75.4,0,157,2.03,0,12,0,2.8,0,0,0
"Biscuit (Wafer, Filled)",535,4.7,30,66,0,73,1.6,0,7,0,0,0,0,0
Biscuit (Marie),388,7.1,10.6,70.5,0,0,0,0,98,1,0,0,0,0
Biscuit (Shorties),479,5.6,20.9,71.7,0,95,1.64,0,9,0,2.7,0,0,0
Biscuit (Lemon Puff),476,5,23.3,65.8,0,118,2.19,0,11,0,2.3,0,0,0
Viskiringa (Sugar Glazed Rusk),490,7,20,71,1,25,1.5,0,0,0,0,0,0,0
"Biscuit (Sweet, Flavored, No Filling)",427,6.6,14.2,72.7,0,31,4.01,0,39,3,0,0,0,0
Biscuit (Bran),444,6.4,15.1,75.4,0,157,2.03,0,12,0,2.8,0,0,0
Cake (Chocolate),438,7.3,24.1,51.3,0,58.421196,1.8,0,12,0,0,0,0,0
Cake (Coconut),423,6.7,22.1,52.6,0,34.280571,1.42,0,9,0,0,0,0,0
Cake (Date),334,4.5,12.1,55.2,0,32.902992,1.55,0,0,39,0,0,0,0
Cake (Fruit),334,4.5,12.1,55.2,0,34.537594,1.55,0,0,0,1.5,0,0,0
Cake (Sponge),462,6.4,26.4,53.1,0,32.902992,1.04,0,9,0,1.1,0,0,0
Cake (Butter),447.02945,5.6236701,29.090473,41.14719,1.100886,35.344532,1.064239,0,11.384727,195.0697,1.0340192,0,0,0
Cake (Iced),447.02945,5.6236701,29.090473,41.14719,1.100886,35.344532,1.064239,0,11.384727,195.0697,1.0340192,0,0,0
Candy (Gingelly),516,11.6,33.3,50.3,7.7,639,4.27,0,51,0,0,0,0,0
Candy (Toffee),426,2.2,18.6,66.7,0,73,0.2,0,0,0,0,0,0,0
"Chocolate (Dark, Plain)",510,5,28,63.5,0,33,2.3,0,12,0,1.4,0,0,0
"Chocolate (Milk, Plain)",519,7.3,31.1,56,0,226,2.05,0,9,0,1.6,0,0,0
"Chocolate (Milk, With Cream Or Caramel Filling)",519,7.3,31.1,56,0,226,2.05,0,9,0,1.6,0,0,0
"Chocolate (Milk, With Nuts Or Fruit)",519,7.3,31.1,56,0,226,2.05,0,9,0,1.6,0,0,0
Gelatin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almonds,611,18.4,58.5,3,13.1,228,4.59,0.7,36.5,0,25.9,0,0,0
Cashew Nuts (Dried),577,18.8,45.2,25.5,3.9,34,5.95,0,25.2,0,1,0,0,0
"Cashew Nuts (Roasted, Salted)",591.59998,18.839399,46.063202,25.642799,4.3248,34.98,6.4247999,0,12.46848,0,1.581,0,0,0
Peanut (Boiled),336,15.4,25.8,11.2,6.8,35,2.25,0,59.2,2,2.8,0,0,0
"Peanut (Dry, Roasted)",590,25.7,49.8,10.3,0,52,2.1,0,0,0,1.1,0,0,0
Peanut (Tempered),590,25.7,49.8,10.3,0,52,2.1,0,0,0,1.1,0,0,0
Jackfruit Seeds (Dry),184,5.4,13.4,11.3,8.2,52,0.93,8.2,47.5,138,0.2,0,0,0
Lotus Seed (Dry),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pumpkin Seeds (Dry),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunflower Seeds (Dry),586,23.5,51.8,6.8,10.8,176,5.85,0,81.8,0,21.9,0,0,0
Chinese Roll (Fish),331,10.9,15.2,40.3,2.7,88,1.7,3.8,31.7,190,0.5,0,0,0
Cocktail Mix,503,18.8,32.9,35.1,0,58,3.8,0,0,0,4.7,0,0,0
Crisps (Maize Puff),558,5.76,35.8,54.1,2.2,58,1.1,0,180,0,0,0,0,0
Crisps (Potato),532,6.39,33.95,53.83,3.1,21,1.28,21.6,29,0,10.45,0,0,0
Fried Grams Snack,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murukku,349,6.6,9.5,63.4,2.7,41,2.07,0.1,30.3,72,0.2,0,0,0
Popcorn (Salty),470,9,23.5,59.3,0,0,0,0,0,0,0,0,0,0
Popcorn (Sweet),470,9,23.5,59.3,0,0,0,0,0,0,0,0,0,0
Rusks,396,6.5,10.7,73,0,336,6.46,0,22,0,1.4,0,0,0
"Tapioca (Manioc, Chips, Dried)",317.6,1.3,0.3,82.6,0,91,3.6,0,0,0,0,0,0,0
"Vade (Fritters), Black Gram",170,13.6,0.85,27.4,0,98.4,3.5,0.55,72.1,18.5,0,0,0,0
"Vade (Fritters), Dhal",282,15.4,4.5,47.9,0,48.4,3.3,2.5,417.5,10.5,0,0,0,0
Patty (Fish),352.1503,10.634809,15.359921,41.919922,2.7738111,65.975311,1.7578131,6.1979594,25.506285,42.612476,0.1749174,0,0,0
Patty (Egg),363.37091,9.1340466,17.274506,41.919922,2.7738111,44.478283,1.6912417,6.1979594,22.753643,42.612476,0.59491742,0,0,0
Patty (Vegetable),335.05899,6.868125,14.744318,42.738216,3.6687491,43.465042,1.5349339,7.6067438,19.277719,154.94568,0.20725612,0,0,0
Chinese Roll (Vegetable),323.49789,7.3927488,12.953424,43.233631,4.3601542,55.842339,1.8303673,21.459167,31.262402,116.65749,0.35148835,0,0,0
Dried Palmyra Sprouts,384,2.92,1.73,85.1,2.79,53,1.7,0,0,0,0,0,0,0
Aggala,362,3.7,0.5,91.3,0,20,1.26,0.1,11.4,0,0.1,0,0,0
Aluwa,316,3.3,0.4,79.7,1.2,18,1.09,0.1,10,0,0.1,0,0,0
"Cassava Chips (Fried, Sugar Coated)",287,0.36,8.8,53,0,11,0.3,18.8,11.5,0,0,0,0,0
Dhodol,361,2.4,14,59.8,1.7,18,1.33,1.6,12.6,0,0.1,0,0,0
Halapa,304,4.6,8.4,55.9,1.3,11,1.67,0.1,19.2,0,0.5,0,0,0
Laddu (Semolina),402,4.2,17.9,60,4,16,1.23,0,10.1,0,0.3,0,0,0
Mung Kevum,401,5.1,18.5,57.1,2,22,1.5,0.3,18.5,2,0.2,0,0,0
Pancake (Roll),254,6.3,9.7,37.8,0,18.25378,0.77,1,10,0,3.2,0,0,0
Sago Paayasam (Kheer),190,0.9,8.4,29.6,0.9,4,0.49,0.1,0.7,0,0.1,0,0,0
Sesame Ball,473,8.9,34.6,33.7,4.5,301,5.47,0.2,49.2,1,1.7,0,0,0
Watalappan,282,3.2,8.9,50.3,0.4,18,0.64,0.1,4,33,0.3,0,0,0
Jaggery,348,0,0,92.9,0,0,2.57,0,0,0,0,0,0,0
Wali Thalapa,284,2.7,3.4,64.7,1.6,13,0.89,0.1,9.4,0,0.2,0,0,0
Samposha Aggala,366.3519897,13.06999969,4.375699997,70.20400238,5.762000084,134.572998,3.47149992,9.13599968,10.53810024,62.41849899,0.156000003,0,0,0
Athirasa,665,3,37.2,84.8,1.3,38,1.17,0,9.9,0,0.3,0,0,0
Lavariya,224.2829742,4.064278126,4.335048199,44.74222183,1.110843897,28.83132935,1.698128223,0,10.91814137,1.046268106,0.036195289,0,0,0
Wandu Appa,268.3940125,3.14041996,3.703359842,58.50453949,0.04764,12.91032028,1.067600012,0.315840006,8.014808655,0.006048,0.00068,0,0,0
Kolukkatta / Mothagam,223.3490601,7.272830009,5.182547092,37.12477493,3.289150953,25.90342522,1.761094332,0,16.37704468,3.6836133,0.093603775,0,0,0
Sweet Fried Bread (Wheat Flour),378.5265503,5.113469601,17.14122391,50.4122467,5.801632881,11.5379591,1.895102024,0.208979592,10.18726444,0.922897935,0.225306123,0,0,0
Brinjal (Tempered),127,1.7,11.3,5,0,20,0.92,2.4,9.2,20,0.2,0,0,0
"Brinjal (Tempered, With Coconut Milk)",158,1.9,14.3,5.7,2.9,22,0.92,2,7.5,44,0.1,0,0,0
Brinjal (With Coconut Milk),131,1.8,11.6,5.2,2.5,18,0.69,1.5,4.6,34,0.1,0,0,0
Brinjal And Dried Fish (With Coconut Milk),166,8.2,12.5,5.6,2.1,31,0.92,2.1,9.7,44,0.4,0,0,0
Brinjal And Dried Fish (Tempered),305,42.2,9.4,13.8,10.1,161,3.83,7.5,37.3,309,1.9,0,0,0
Brinjal Moju,371,3.3,35.7,9.7,5.9,38,1.37,4.8,12.3,68,0.3,0,0,0
Capsicum (Tempered),181,2.5,15.8,7.8,4.1,47,1.79,47.8,50.9,143,0.2,0,0,0
"Capsicum (Tempered, With Coconut Milk)",196,2.2,18.1,6.7,2.9,32,1.37,36.7,35,124,0.2,0,0,0
Capsicum (With Coconut Milk),91,1.3,8,3.6,1.6,19,0.82,30.8,24.4,59,0.1,0,0,0
Capsicum And Dried Fish (With Coconut Milk),149,5,12.5,4.5,1.4,25,0.85,24.4,22,40,0.2,0,0,0
Capsicum And Sprats (With Coconut Milk),139,2.6,12.4,4.5,1.4,18,0.75,24.3,83.8,38,0.1,0,0,0
Green Egg Plant (Tempered),174,2.3,14.4,9.2,1.3,79,2.1,9.7,6.3,152,0.2,0,0,0
"Green Egg Plant (Tempered, With Coconut Milk)",162,1.9,14.2,6.9,1.011,43,1.34,4,5.3,84,0.1,0,0,0
"Tomato (Tempered, With Coconut Milk)",168,1.6,15.6,5.6,1.2,12,0.54,6.3,8.7,119,0.1,0,0,0
"Turkey Berry (Thibbatu), Tempered",131.4618073,2.330698967,8.675606728,10.35947037,7.172173977,158.7548065,1.453773975,13.51585007,46.8900032,31.19918823,2.250917912,0,0,0
"Turkey Berry (Thibbatu), Tempered, With Scraped Coconut",188.8567047,2.375111103,15.69575596,8.874079704,7.680660725,77.4853363,1.273288965,9.128543854,45.94551086,19.24736595,2.195662022,0,0,0
"Turkey Berry (Thibbatu) And Leafy Greens, Nfs, Tempered",129.9685211,3.608740091,8.508657455,9.085474968,7.26985693,215.0310822,2.473726273,30.7059803,55.90169144,513.4293213,1.355395794,0,1,300
Drumsticks (Boiled),25.4697,2.1054952,0.1018788,3.5148187,6.0448089,18.007856,0.40465623,60.750114,34.659168,2.3916049,0.30563641,0,0,0
Drumsticks (Boiled & Tempered),85,2.6,6.2,5.2,6.136,40,1.32,31.6,51.2,42,0.3,0,0,0
"Drumsticks (Boiled, With Coconut Milk)",130.3806,3.9552441,8.3172693,9.1312084,7.703836,129.54872,1.4969569,76.548782,58.217823,15.034182,0.386062,0,0,0
"Drumsticks (Tempered, With Coconut Milk)",119,2.3,10.1,5.1,4.5,33,1.15,22.3,36.5,42,0.2,0,0,0
Ladies Fingers (Tempered),159,3.3,11.7,10.6,6.5,98,1.93,21.4,75,109,0.7,0,0,0
"Ladies Fingers (Tempered, With Coconut Milk)",182,2.9,15.8,7.5,4.5,86,1.97,11.1,49.5,71,0.5,0,0,0
Ladies Fingers (With Coconut Milk),122,2.2,10.2,5.6,3.1,62,1.23,8.2,37.6,41,0.3,0,0,0
"Ladies Fingers And Dried Fish (Tempered, With Coconut Milk)",227,8.5,18.9,6.1,2.3,57,1.29,7.1,28,41,0.5,0,0,0
Ladies Fingers And Dried Fish (Tempered),173.36554,17.000872,9.0506897,5.5440121,4.3181362,108.70194,2.0257835,16.022579,125.97701,28.040438,0.405884,0,0,0
Green Beans (Boiled),22,1.8,0.5,2.9,2.9,34,1.1,11,57,55,0.2,0,0,0
Green Beans (Tempered),126.4721985,3.154071093,9.680864334,6.327641964,5.089822769,91.42945862,1.269519925,11.72020054,31.30495834,59.94416809,0.124403,0,0,0
"Green Beans (Tempered, With Coconut Milk)",210,2.9,19,7.2,1.1,51,1.52,4.3,46.1,64,0.4,0,0,0
Long Beans (Boiled),19.7064,2.7588961,0.24632999,1.633989,4.3600411,34.573593,0.79024541,5.6826277,55.413166,0,0.057477001,0,0,0
Long Beans (Tempered),108.3243027,3.622668028,8.095222473,5.111824036,5.759171009,45.98135757,1.197458982,9.933697701,75.03614807,9.992697716,0.10407,0,0,0
"Long Beans (Tempered, With Coconut Milk)",298,4.4,25.3,14,2.9,72,1.86,8.5,53.8,109,0.2,0,0,0
Long Beans (With Coconut Milk),134,2.7,10.2,8.5,1.1,42,0.93,1.1,36.2,68,0,0,0,0
Winged Beans (Boiled),17.243099,1.510824,0.16422001,2.2662361,3.1037581,53.310272,0.93845397,12.612507,18.67243,28.628473,0.082110003,0,0,0
Winged Beans (Tempered),91.83750153,2.748875141,6.645996094,4.918228149,5.361419201,92.68171692,1.65586102,26.22967339,37.8465004,52.33429718,0.150665998,0,0,0
"Winged Beans (Tempered, With Coconut Milk)",188,5.3,15.9,6.3,1.1,66,1.57,10.3,47,56,0.1,0,0,0
Winged Beans (With Coconut Milk),127,5.5,9.2,5.8,0.6,68,1.64,7.2,46.1,27,0,0,0,0
Winged Beans (Fresh Or Water-Cooked Mallum With Scraped Coconut),111,5.2,7.5,6,2.8,60,1.91,8.8,47.1,2,0.5,0,0,0
"Green Beans (Boiled, With Coconut Milk)",99,2.3,7.8,5.2,0.8,51,1.44,4.1,42.2,55,0.3,0,0,0
"Long Beans (Tempered, With Scraped Coconut)",169.4313049,4.112419128,14.67719841,5.007697105,7.260684013,46.48290253,1.432092071,9.535747528,75.38471985,9.983178139,0.168342993,0,0,0
"Long Beans (Boiled, With Scraped Coconut)",100.2213058,4.112419128,6.987197876,5.007697105,7.260684013,46.48290253,1.432092071,9.535747528,75.38471985,9.983178139,0.168342993,0,0,0
Ambarella (With Coconut Milk),193,1.5,15.8,12.4,1.4,47,0.88,12.2,2.2,26,0,0,0,0
"Ambarella (Tempered, With Coconut Milk)",266,1.4,21.5,17.9,1.4,48,0.86,12.7,2.2,26,0.1,0,0,0
"Musk Melon (Tempered, With Coconut Milk)",198.1987,2.12025,17.060745,8.8106213,1.687501,54.940483,1.3663859,21.956263,27.275656,123.16756,0.055376999,0,0,0
"Papaya (Green, Tempered Curry)",243.5771027,1.911136985,20.35089493,13.04039288,1.804836035,92.20231628,1.343274951,10.45721912,17.49136162,19.5723381,0.286298007,0,0,0
Papaya Mallum (With Scraped Coconut),94.84529877,1.558405042,7.222690105,5.449654102,4.197441101,27.71798134,0.95134002,11.47765255,16.31247139,24.77493286,0.39497,0,0,0
"Bread Fruit (Boiled, Plain)",57,1.3,0.2,13.4,1.8,34,0.43,9.8,0,1,0,0,0,0
"Bread Fruit (Boiled, With Coconut Milk)",164,1.9,11.8,13.3,1.7,32,0.6,8.1,0.9,13,0,0,0,0
"Bread Fruit (Boiled And Tempered, With Coconut Milk)",213.61639,2.2645531,12.721217,23.386019,3.585562,181.12511,2.3150971,13.386724,11.896067,10.724582,0.44606,0,0,0
Bread Fruit (Boiled And Tempered),139.4281921,1.520608068,4.531563282,25.5548172,5.267781258,51.86138916,0.809082031,23.04183197,10.45051765,15.42267513,0.918381989,0,0,0
Agathi Flowers (Tempered),182.9492035,9.288287163,10.81378651,10.609272,10.40014553,906.6439819,4.939284801,111.7454987,113.6247635,1883.221191,1.817338943,0,0,0
"Plantain Flower (Tempered, With Coconut Milk)",146,2.3,13,5.3,5.5,38,0.83,5.4,46.5,11,0.2,0,0,0
Plantain Flower (With Coconut Milk),100,2.3,7.9,5.3,5.4,38,0.82,4.2,46.5,9,0.2,0,0,0
Plantain Flower (Tempered),76.1257019,1.514021039,6.364370823,2.983571053,5.089453697,34.31702042,0.449517012,10.07168007,32.62053299,4.755734444,0.087063,0,0,0
"Plantain Flower (Tempered, With Scraped Coconut)",158.545105,2.716498852,14.33689213,4.248044014,8.56818676,49.81319427,0.878636956,13.17094803,44.84910583,12.56789017,0.193801999,0,0,0
Jackfruit Seed (With Coconut Milk),175,4.2,13.3,10.3,5.3,36,1.08,3.7,30.1,42,0.1,0,0,0
"Jackfruit Seed (Tempered, With Coconut Milk)",185.5789,4.224525,14.083085,10.116415,5.0717998,97.750648,1.494935,8.6312618,31.973072,15.367915,0.083884999,0,0,0
Mature Jackfruit (Boiled),20,1.6,0.3,2.9,6.4,38,0.26,8,29.6,0,0,0,0,0
"Mature Jackfruit (Tempered, With Coconut Milk)",91,1.6,7.8,3.9,4.4,33,0.56,5.8,20.5,25,0.1,0,0,0
"Tender Jackfruit (Tempered, With Coconut Milk)",198.37891,2.882226,17.778494,6.5360599,4.7861977,109.46242,1.4486101,14.832209,24.591448,9.2735062,0.071070001,0,0,0
Tender Jackfruit (Fresh Or Water-Cooked Mallum With Scraped Coconut),113,2.1,9,6.3,2.993,85,1.34,5.1,9.5,21,0.6,0,0,0
Tender Jackfruit (Tempered Mallum With Scraped Coconut),213,2.1,20.1,6.3,3.143,85,1.35,5,9.7,21,0.7,0,0,0
"Mature Jackfruit (Boiled, With Coconut Milk)",151,2.3,13.2,6,5.2,40,0.88,6.5,22.4,25,0.1,0,0,0
Mature Jackfruit (Tempered),135.4019928,4.020550728,5.665438652,16.09597778,5.141955853,111.4987335,0.907025993,9.84888649,21.28829193,24.28838158,0.151482001,0,0,0
Mature Jackfruit (Boiled & Tempered),135.4019928,4.020550728,5.665438652,16.09597778,5.141955853,111.4987335,0.907025993,9.84888649,21.28829193,24.28838158,0.151482001,0,0,0
"Mango (Semi-Ripe, Boiled Curry)",129.7360077,1.648000956,8.597821236,10.7886982,3.905819893,104.0413513,1.029806018,43.80470276,18.12164116,27.82380676,0.498062015,0,0,0
"Mango (Semi-Ripe, Boiled Curry, With Coconut Milk)",179.1604004,2.269304037,13.39301777,11.75326729,2.669825077,93.98002625,1.593987942,41.69528198,21.88140488,17.43331146,0.463197023,0,0,0
"Mango (Semi-Ripe, Boiled And Tempered Curry)",102.7360001,1.648000956,5.597820759,10.7886982,3.905819893,104.0413513,1.029806018,43.80470276,18.12164116,27.82380676,0.498062015,0,0,0
"Ash Gourd (Boiled, With Coconut Milk)",134,1.6,12.2,4.8,2.1,15,0.58,4.3,8.6,5,0,0,0,0
Bitter Gourd (Boiled Curry),153.0144,2.895509,12.091337,7.7576642,4.0376868,1.539322,130.08214,0,0.10490565,44.373009,37.5686,0,0,0
Bitter Gourd (With Coconut Milk),258,2.7,23.7,9.1,0,44,1.4,32.3,4.7,97,0.1,0,0,0
Bitter Gourd (Tempered),88,3.1,3.2,12.5,0,86,2.06,99.5,20.6,100,0.1,0,0,0
"Bitter Gourd (Tempered, Salad)",142.7738,2.9312789,10.62128,8.1964159,7.7598701,163.63164,3.6447051,67.157219,75.947113,61.234367,0.171661,0,0,0
Bitter Gourd (Deep-Fried),145.0095062,1.870730996,13.43704414,3.815227032,4.904356003,29.62546158,2.467679977,40.76124191,38.84122467,55.97129822,0.095802002,0,0,0
Bottle Gourd (With Coconut Milk),127,1.6,11.2,5.4,2.862,27,0.82,3.3,46,32,0.1,0,0,0
Cucumber (With Coconut Milk),135,1.8,11.2,7.2,2.9,28,1.02,4.3,20.2,25,0.1,0,0,0
Ridge Gourd (With Coconut Milk),101.0502,1.9264439,7.8567381,5.3864222,2.4414079,95.176689,4.5545182,6.4044023,25.441273,60.34589,0.081762001,0,0,0
Snake Gourd (With Coconut Milk),125,1.9,11.2,4.5,2.6,31,1.07,2.3,13.6,44,0.1,0,0,0
Snake Gourd And Dried Fish (With Coconut Milk),210.36505,8.9220619,16.609068,6.048018,1.620373,43.525723,2.0339153,4.6572199,54.279892,13.903788,0.075500004,0,0,0
Bitter Gourd And Dried Fish (Tempered),140.63193,16.427172,6.6473227,3.7093101,3.517498,66.360687,2.4012198,27.659698,116.17651,40.22739,0.055943001,0,0,0
"Bitter Gourd (Tempered & Boiled, With Coconut Milk)",208.3460999,2.515836,19.01440811,6.509402752,2.616647005,121.6432571,2.175796032,24.32664871,31.71823692,56.08591461,0.065568,0,0,0
Spiny Gourd (Tempered),117.6562958,3.405188084,5.519168854,13.3271122,5.375181675,128.4326782,1.535079002,52.05007553,25.85284996,38.28003311,0.100602001,0,0,0
"Spiny Gourd (Tempered, With Coconut Milk)",209.1983032,3.308544874,16.89486313,10.78059578,2.701086044,115.5785217,2.081711054,30.08632851,23.14764023,24.38614655,0.054924,0,0,0
"Gourd Mallum (Nfs, Tempered, With Scraped Coconut)",137.2259674,1.886078477,12.56531525,3.826502323,4.548282146,29.99140739,1.885488391,12.78101158,22.14988518,32.27933502,0.1689246,0,0,0
"Dubai Pumpkin (Boiled, With Coconut Milk)",83.746597,1.4504369,6.1286364,5.2671981,2.0965519,46.696217,0.819493,6.0179329,22.897797,24.652082,0.14822501,0,0,0
"Pumpkin (Boiled, With Coconut Milk)",92,1.5,7.2,5.8,2.5,26,0.73,3.8,20.8,44,0.4,0,0,0
Pumpkin (Tempered),142.7534943,2.395774126,8.924293518,12.48462868,3.827404976,38.33042145,1.22220397,17.10760307,30.08203506,49.14704132,2.736183167,0,0,0
"Pumpkin (Tempered, With Coconut Milk)",180.0589,2.29406,14.582006,9.4060707,2.094301,62.735405,1.509406,9.8647747,22.751736,33.323658,2.0554771,0,0,0
Amaranth Leaves (Fresh Or Water-Cooked Mallum With Scraped Coconut),156,3.7,12.4,8,3.4,571,16.19,9.4,10.6,804,0.9,0,1,300
Amaranth Leaves (Tempered Mallum With Scraped Coconut),185,3.6,15.8,7.6,3.3,549,15.59,9.2,9.9,774,0.9,0,1,300
Amaranth Leaves (Tempered),215.06981,6.0670543,17.161535,8.1330433,7.816566,339.73566,5.4131107,94.989296,89.728615,1661.7511,0.75497299,0,1,300
"Spinach (Boiled, With Coconut Milk)",100,2.2,8.4,4.2,2,59,2.21,11.6,92.5,274,0.8,0,1,300
